Videos10repeatsinarow,Valencemaximumrating,Impactmaximimrating,Arousalmaximumrating,Valenceminimumrating,Impactminimumrating,Arousalminimumrating,ValenceAvgRating,ImpactAvgRating,ArousalAvgRating,ValenceStandardDeviation,ImpactStandardDeviation,ArousalStandardDeviation,ValenceMedianAbsoluteDeviation,ImpactMedianAbsoluteDeviation,ArousalMedianAbsoluteDeviation,Valencelowquartile,Impactlowquartile,Arousallowquartile,Valencemedian,Impactmedian,Arousalmedian,Valencehighquartile,Impacthighquartile,Arousalhighquartile,Valencestandardkurtosis,Impactstandardkurtosis,Arousalstandard_kurtosis,Valenceadjustedkurtosis,Impactadjustedkurtosis,Arousaladjustedkurtosis,Valencestandardskewness,Impactstandardskewness,Arousalstandardskewness,Valenceadjustedskewness,Impactadjustedskewness,Arousaladjustedskewness,Valenceavgfemalerating,Impactavgfemalerating,Arousalavgfemalerating,Valenceavgmalerating,Impactavgmalerating,Arousalavgmalerating,Valencetotalfemale,Impacttotalfemale,Arousaltotalfemale,Valencetotalmale,Impacttotalmale,Arousaltotalmale,Valencetotalwatched,ImpactTotalWatched,ArousalTotalWatched,ValenceFamiliarityNO,ImpactFamiliarityNO,ArousalFamiliarityNO,ValenceFamiliarityYES,ImpactFamiliarityYES,ArousalFamiliarityYES,TotalFamiliaritypercentYes,OpticalFlowHS,OpticalFlowLK,OpticalFlowFarneback,@6framecorrelation,Luminance,Contrast,Numberofframes,Lengthofmoviesec,FileSizeBeforeZipping.AVIbytes,FileSizeAfterZipping.AVIbytes,FileSizeBeforeZipping.mp4bytes,FileSizeAfterZipping.mp4bytes,AVIcompRatio,QCL_3cluster,QCL_3clusterTOMATCHPAPER,QCL_7cluster,Source
919-Tracking_Shot_Following_Young_Woman_Approaching_Blossom_Tree-ED.mp4,9,8,7,3,1,1,5.5000,3.0606,1.8387,1.375811449,2.088052506,1.370113586,1.0,1.0,0.0,5.0,1.0,1.0,5.0,2.0,1.0,6.0,4.0,2.0,1.273762905,-0.572657028000000,4.741508154,1.783625161,-0.463495534,5.827398803,0.863984121,0.798308083,2.173390089,0.913678300,0.836836842,2.285499647,5.7647,3.2273,1.6429,5.0000,2.2222,1.8750,17,22,14,10,9,16,28,33,31,27,33,31,1,0,0,1.086956521739130,0.014884000000000,0.15217000,2.2671000,0.857136378,107.5792,54.8384,390,13.036,2426189680,1761774373,22984084,22812114,1.38,1,2,6,https://www.videvo.net/video/tracking-shot-following-young-woman-approaching-blossom-tree-/777223/
397.1-Waterfall_Nature_River_Water-ED.mp4,9,9,7,5,1,1,8.0417,5.6000,1.8421,1.135751098,2.870540019,1.564849342,1.0,2.0,0.0,7.5,3.0,1.0,8.0,6.5,1.0,9.0,8.0,2.0,0.334394229,-1.159770007000000,4.153841035,0.714884593,-1.139700107,5.894789605,-1.105530867,-0.483992691,2.240365656,-1.180640647,-0.524153025,2.437154369,8.2500,4.9167,1.7000,7.6250,6.6250,2.1250,16,12,10,8,8,8,24,20,19,23,19,19,1,1,0,3.174603174603170,0.005608400000000,0.06213400,0.9503000,0.954902586,71.1811,55.1539,450,15.047,2799438640,1979471127,29574833,29374033,1.41,2,3,3,https://pixabay.com/videos/waterfall-river-nature-water-22589/
397.2-Waterfall_Nature_River_Water-ED.mp4,9,9,6,2,1,1,7.4706,4.5652,1.8929,1.850839144,2.763521493,1.566143711,1.0,2.0,0.0,7.0,2.0,1.0,8.0,4.0,1.0,9.0,6.5,2.0,1.917202326,-1.296380502000000,1.246308948,3.086448905,-1.315449774,1.750553701,-1.484319740,0.257513621,1.628010963,-1.632001885,0.275839317,1.721650032,8.0000,4.8125,2.3750,6.2500,5.0000,1.3333,12,16,16,4,5,9,17,23,28,17,22,27,0,1,1,2.941176470588240,0.005358900000000,0.05972300,0.9387300,0.956080743,72.1406,54.8927,639,21.300,3975172864,2762854676,40109630,40106782,1.44,1,2,3,https://pixabay.com/videos/waterfall-river-nature-water-22589/
876.1-A_Woman_Feeling_Relax_While_Getting_Her_Hair_Shampooed_By_The_Hairdresser-ED.mp4,9,9,7,2,1,1,7.0370,4.5263,2.0833,1.835483214,2.232968783,1.605113357,2.0,2.0,0.0,6.0,2.5,1.0,7.0,4.0,1.0,9.0,6.5,3.0,0.019631508,-1.109118519000000,1.284689882,0.283819563,-1.070892157,1.669940639,-0.773284624,0.206318045,1.476357706,-0.819535786,0.224440561,1.541338231,7.3125,5.2500,1.9524,6.3333,3.2857,2.3571,16,12,21,9,7,14,27,19,36,27,19,35,0,0,1,1.219512195121950,0.003638600000000,0.02137200,0.8313500,0.967186685,87.7378,87.8069,450,15.047,2799438640,1033512991,6472118,6242339,2.71,1,2,3,https://www.pexels.com/video/a-woman-feeling-relax-while-getting-her-hair-shampooed-by-the-hairdresser-3996974/
345.2-Woman_Applying_Makeup_Around_Her_Face-ED.mp4,7,9,8,3,1,1,4.9200,2.8182,2.1481,0.844748483,2.341387124,1.671187285,0.0,1.0,0.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,3.0,1.094703292,-0.271161334000000,3.183513071,1.634574810,-0.110777991,4.122662526,-0.245887396,1.026672328,1.764783216,-0.261868980,1.076222635,1.870337202,5.3077,2.8182,2.0000,4.4545,2.8182,3.0000,13,22,19,11,11,6,25,33,27,25,32,26,0,1,1,2.352941176470590,0.000892240000000,0.00079325,0.3035200,0.872726664,115.1211,33.6323,143,6.218,889644840,133524843,2586278,2584210,6.66,1,2,6,https://www.pexels.com/video/a-woman-applying-makeup-around-her-face-3598808/
395-Cat_Sleeping-ED.mp4,9,9,6,2,1,1,7.2143,5.6471,2.1765,2.144047289,3.047490317,1.382040015,2.0,2.0,1.0,7.0,3.0,1.0,7.0,7.0,2.0,9.0,9.0,3.0,1.002923130,-1.422925167000000,1.033790170,1.457367401,-1.494297372,1.874912233,-1.344425335,-0.349339732,1.286137585,-1.421753277,-0.384097230,1.414101629,7.5882,5.4167,1.7778,6.3333,5.0000,2.5714,17,12,9,9,3,7,28,17,17,28,17,17,0,0,0,0.000000000000000,0.002808400000000,0.02000200,0.4990300,0.976252014,99.1172,69.2468,543,18.103,3377974528,1087833663,6158469,5876188,3.11,2,3,3,https://pixabay.com/videos/cat-kitty-sleep-kitten-pet-animal-35733/
829-Close_Up_Pan_Down_Of_Violinist_Playing_Violin-ED.mp4,9,8,6,1,1,1,6.5263,3.4583,2.1875,1.983309861,2.565462380,1.844544320,1.0,2.0,0.0,6.0,1.0,1.0,6.0,3.0,1.0,8.0,6.0,3.0,0.987258480,-1.068421572000000,-0.215171603,1.703724459,-1.031044164,0.193028798,-0.787819778,0.655164945,1.217712754,-0.857020106,0.699676859,1.347480347,6.3636,3.2143,2.6364,6.7500,3.5000,1.0000,11,14,11,8,8,3,19,24,16,18,23,16,1,1,0,3.389830508474580,0.001609900000000,0.00502220,0.3721200,0.765564584,40.4474,33.6952,394,13.166,2451072944,365391655,4567371,4363724,6.71,1,2,6,https://www.videvo.net/video/close-up-pan-down-of-violinist-playing-violin/464555/
335.3-Coffee_Cup_Stock_Video-ED.mp4,9,9,9,2,1,1,6.8630,2.9863,2.2090,1.730587583,2.395733369,2.062727606,2.0,1.0,0.0,5.0,1.0,1.0,7.0,2.0,1.0,8.0,4.0,2.0,-0.353119783,0.044163468000000,3.532760220,-0.291634246,0.134266188,3.906497084,-0.454500957,1.127955735,2.086088317,-0.464092053,1.151758395,2.134168489,6.9643,3.0000,2.2708,6.4286,3.0909,2.1765,56,48,48,14,22,17,73,73,67,71,72,63,2,1,4,3.286384976525820,0.000479510000000,0.00078032,0.0907640,0.988918276,90.6761,77.3714,167,7.261,1038944808,184553075,2557246,2553732,5.63,1,2,6,https://www.videezy.com/food-and-drink/80-coffee-cup-stock-video-in-high-definition
924-Top_Down_Shot_of_Female_Hands_Rinsing_Soap_from_Hands_Under_Running_Tap-ED.mp4,9,9,6,3,1,1,5.3000,3.3333,2.2778,1.441064421,2.399073895,1.464602925,1.0,1.0,1.0,4.5,1.5,1.0,5.0,2.0,2.0,6.0,5.0,3.0,0.170371191,-0.557952326000000,0.130862792,0.432756218,-0.433332198,0.338206163,0.602818185,0.864769559,0.998025203,0.635020785,0.910965623,1.041952363,5.1053,3.5263,2.0435,5.0000,3.2000,2.3636,19,19,23,8,10,11,30,30,36,29,29,34,1,1,2,4.166666666666670,0.001255400000000,0.00521400,0.5969500,0.943929896,77.0899,48.1181,450,15.047,2799438640,885783185,7580193,7351107,3.16,1,2,6,https://www.videvo.net/video/top-down-shot-of-female-hands-rinsing-soap-from-hands-under-running-tap/678305/
723.1-A_Woman_Setting_Up_A_Bed_With_White_Duvet_And_Pillows-ED.mp4,8,6,7,2,1,1,5.4211,2.2105,2.3333,1.532654714,1.608495452,1.784708712,1.0,0.0,1.0,4.5,1.0,1.0,6.0,1.0,2.0,6.0,3.0,2.0,-0.279052821,-0.170904998000000,1.451325041,0.027724207,0.170861033,2.020941049,-0.289380481,1.097449713,1.641854796,-0.314799015,1.193847243,1.740056273,4.7000,2.4167,2.5500,6.2222,1.4000,1.8000,10,12,20,9,5,5,19,19,27,18,18,27,1,1,0,3.076923076923080,0.005545600000000,0.02637800,2.2024000,0.836781460,94.1756,70.4833,270,9.039,1679690504,461938253,4737620,4600667,3.64,1,2,6,https://www.pexels.com/video/a-woman-setting-up-a-bed-with-white-duvet-and-pillows-4109485/
