fileName,vidLen,valence,arousal,impact,group
782-Close up Cleaning Hands Using Hand Sanitizer-ED.mp4,14.028,5,3.4167,3.3333,neut
831-Close Up Bow Playing Violin-ED.mp4,15.073,5.5,3.037,3.1538,neut
646-Woman Crocheting-ED.mp4,7.811,5.3077,3.4643,3.0263,neut
685.22-Romantic_Happy_Couple_Showing_Love-ED.mp4,9.967,5.913,2.7143,2.05,neut
641.1-Free Couple Holding Hands-ED.mp4,12.539,6.4286,3.2,3.2821,neut
652.1-Woman In A Photocopier-ED.mp4,10.032,4.3125,2.7805,1.875,neut
872-A Woman In Wheelchair Pushes Herself With A Laptop On Her Lap-ED.mp4,10.371,5.4167,3.5429,3.8919,neut
724.2-A_Woman_Covering_The_Bed_With_A_White_Comforter-ED.mp4,13.067,5.9583,3.4091,2.6471,neut
655-Woman Buying Hot Chocolate In A Coffee Machine-ED.mp4,15.047,5.9444,3,3.2667,neut
402.2-Stressed_Man_Looking_at_Bills-ED.mp4,11.1,3.85,3.9375,2.8,neut
867-Close-Up Video Of Woman Smiling-ED.mp4,12.435,4.8125,3.6757,2.5758,neut
658.2-A_Bald_Man_Walking_In_A_Office_And_Going_Downstairs-ED.mp4,10.867,4.8571,3.9,2.2941,neut
685.16-Romantic_Happy_Couple_Showing_Love-ED.mp4,10.367,5.0938,3.5,1.85,neut
400.2-Stay_At_Home_Reading-ED.mp4,8.034,5.4091,3.1765,2.6364,neut
736-Beer Bubbles Close Up-ED.mp4,10.972,5.2778,3.6923,3.5,neut
546.5-MeToo_Is_Changing_How_Sex_Is_Simulated_on_Set-ED.mp4,8.267,5,2.5,2.2059,neut
942-A Young Man In A Dance Rehearsal-ED.mp4,11.912,5.2,3.84,2.8,neut
729.1-A Woman Using A Vacuum To Clean The Carpet-ED.mp4,12.043,5.5806,3.0323,2.5238,neut
652.3-Woman_In_A_Photocopier-ED.mp4,10.034,4.8382,2.5593,2.0746,neut
546.4-#MeToo_Is_Changing_How_Sex_Is_Simulated_on_Set-ED.mp4,7.134,5.4237,3.6279,2.06,neut
735.1-A Woman Drying a Glass-ED.mp4,14.368,4.3684,3.08,2.35,neut
315.2-Allianz_-_Robbery-ED.mp4,4.434,4.2941,3.6,3.3333,neut
621-Man Taping a Package Box-ED.mp4,15.047,5.1875,3.9024,3.4048,neut
779-Close up of Male Cleaning Hands Using Hand Sanitizer-ED.mp4,14.76,5.4211,2.8095,3.3333,neut
721.2-A_Woman_Flat_Ironing_A_Table_Cloth_While_Watching_A_Television-ED.mp4,15,5.5652,3,2.7647,neut
674.11-Hey_There_Delilah_-_Cute_Couple-ED.mp4,10.267,5.3571,3.9524,2.75,neut
599.1 - Street Heroin Optimal Preparation and Injection - ED.mp4,15.047,5.069,2.9268,3.4231,neut
985-Two Baseball Players Talking To Eachother-ED.mp4,14.133,5.3571,3.0313,2.7353,neut
323.6-LANCE_LIZARDI-ED.mp4,6.967,5.2368,3.6071,2.4571,neut
351.2-Drone_Footage_of_a_Cemetary-ED.mp4,10.087,3.3333,3.7,4.2,neut
776-Female Medical Worker Cleaning Hands 2-ED.mp4,15.047,5.68,2.4615,3.5556,neut
729.2-A_Woman_Using_A_Vacuum_To_Clean_The_Carpet-ED.mp4,12,5.1379,2.4375,2.4048,neut
412-Business Meeting 2-ED.mp4,15.308,4.5952,3.7674,3.0328,neut
368-Two Women Applying Facial Mask Cream on Their Faces-ED.mp4,4.703,6.4865,3.25,3.4324,neut
716-Woman Serving Soup in a Bowl 2-ED.mp4,12.043,5.28,3.3636,2.9048,neut
785-Following Street Cleaner in Hong Kong-ED 1.mp4,6.949,4.6923,2.9737,3.0682,neut
688.14_Happy_Moments_Romantic_Dating-ED.mp4,8.134,6.3333,3.25,2.7273,neut
688.2_Happy_Moments_Romantic_Dating-ED.mp4,9.967,5.9091,3.0455,3.9286,neut
470.4-Shark_Bite_GoPro!_DiveFilm_HD_Podcast-ED.mp4,7.434,5.0417,3.7755,2.0172,neut
738.1-Pouring Beer Slow Motion-ED.mp4,8.7,5.1429,3.0556,2.7273,neut
856.2-Gorgeous_Young_Woman-ED.mp4,8.334,5.5833,3.8,3.1481,neut
345.2-Woman_Applying_Makeup_Around_Her_Face-ED.mp4,6.218,4.92,2.1481,2.8182,neut
870-Woman With Pink Lipstick 2-ED.mp4,11.573,4.5909,3.4444,3.25,neut
802-Man Drinking From Water Fountain-ED.mp4,3.527,4.9667,3.3571,2.8929,neut
919-Tracking Shot Following Young Woman Approaching Blossom Tree-ED.mp4,13.036,5.5,1.8387,3.0606,neut
650-Woman's Hands Typing-ED.mp4,12.722,4.6316,3.7083,3.3462,neut
860.1-A Woman Serious Looking Face Breaks In A Smile-ED.mp4,7.263,5.1739,2.8387,2.6875,neut
731.2-Turning_On_The_Robotic_Vacuum_Cleaner_To_Sweep_The_Floor-ED.mp4,15,5.7273,2.9286,2.6389,neut
400.1-Stay At Home Reading-ED.mp4,12.043,6.1818,2.5,1.7778,neut
874.1-Portrait Of A Woman Smiling-ED.mp4,5.2,5.7,2.75,2.7727,neut
628.3-Accident_in_Oak_Lawn_IL-ED.mp4,15,4.9444,3.7455,2.6,neut
630.9-Traffic_Stop_Educational_Video-ED.mp4,6.267,3.8621,3.6786,3.6071,neut
727-A Person Mopping Clean-ED.mp4,12.043,4.1111,3.1538,2.4118,neut
561-Kids Eating Cookies They Decorated Themselves-ED2.mp4,7.916,6.5897,3.2857,3.3023,neut
922-POV Shot Looking Down at Feet Walking On Forest Floor-ED.mp4,15.047,5.04,2.6429,4.0417,neut
723.2-A_Woman_Setting_Up_A_Bed_With_White_Duvet_And_Pillows-ED.mp4,9,5.8333,3.125,3.0294,neut
722.2-A_Woman_Flat_Ironing_A_Table_Cloth-ED.mp4,15,5.6,3.0588,2.4063,neut
345.1-Woman Applying Makeup Around Her Face-ED.mp4,12.931,5.5294,2.4231,2.8519,neut
647.2-A_Woman_Busy_Computing_Money_Behind_The_Counter-ED.mp4,12.367,5.5,3.1875,2.65,neut
732-A Robovac Cleaning The Floor-ED.mp4,8.177,5.7813,2.9302,2.3111,neut
