fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,key_resp_2.started,MoviePresent.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,photoDiode1.started,photoDiode1.stopped,photoDiode2.started,photoDiode2.stopped,photoDiode3.started,photoDiode3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003989400342106819,0.008755000308156013,0.008755000308156013,2.76667040027678,space,2.751705599948764,None,,,,,,,,,,,,,,,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
794.4-MONEY-ED.mp4,5.0,1.9216,5.8966,6.0357,sad,0,0,0,127,2.982477600220591,,,,,,,,,2.7788861002773046,2.982477600220591,2.982477600220591,2.982477600220591,3.652209300082177,space,0.659504699986428,None,,,,,,,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
776-Female Medical Worker Cleaning Hands 2-ED.mp4,15.047,5.68,2.4615,3.5556,neut,0,1,1,30,4.061065300367773,,,,,,,,,3.7676862003281713,4.061065300367773,4.061065300367773,4.061065300367773,4.754045200068504,space,0.6832594997249544,None,,,,,,,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
713.2-Couple_Enjoying_Las_Vegas_Fireworks-ED.mp4,12.5,6.7083,4.32,3.2759,happy,0,2,2,84,5.190804900135845,,,,,,,,,4.88529340038076,5.190804900135845,5.190804900135845,5.190804900135845,5.787588400300592,space,0.5938785998150706,None,,,,,,,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
929-A Woman Dancing in a traditional China Poblana Dress-ED.mp4,12.174,7.0,4.0968,2.9667,happy,0,3,3,101,6.221390100196004,,,,,,,,,5.915614100173116,6.221390100196004,6.221390100196004,6.221390100196004,6.80495180003345,space,0.5715183997526765,None,,,,,,,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
354.1-Woman Hugging and Carrying Her Son-ED.mp4,8.046,7.8889,4.6667,5.3793,happy,0,4,4,108,7.671260599978268,,,,,,,,,6.912961900234222,7.671260599978268,7.671260599978268,7.671260599978268,11.276078300084919,space,3.601855100132525,None,8.922459700144827,9.122810600325465,9.323074200190604,9.52297249995172,9.723368000239134,9.923205400351435,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
668.2-Most_HEARTWARMING_Military_Homecoming_Surprises!-ED.mp4,10.0,7.6667,5.3913,6.0769,happy,0,5,5,97,11.7427679002285,,,,,,,,,11.41654619993642,11.7427679002285,11.7427679002285,11.7427679002285,21.733746400102973,None,,,13.42618940025568,13.626505200285465,13.826767700258642,14.026690900325775,14.227828100323677,14.427288400009274,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
810-Stir Fry Slow Motion-ED.mp4,4.102,6.85,4.1875,3.25,happy,0,6,6,104,22.161770000122488,,,,,,,,,21.8368923002854,22.161770000122488,22.161770000122488,22.161770000122488,26.237464300356805,None,,,23.851650500204414,24.05177210038528,24.25270469998941,24.452163100242615,24.652351800352335,24.852349299937487,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
505-People Jumping-ED2.mp4,4.572,7.0833,4.5424,4.1127,happy,0,7,7,114,27.292009400203824,,,,,,,,,26.352962600067258,27.292009400203824,27.292009400203824,27.292009400203824,31.80890540033579,None,,,28.355759600177407,28.55580070009455,28.755852000322193,28.95633570011705,29.156363599933684,29.356189700309187,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
567-Hawaii Plane Crash Caught on Tape-ED2.mp4,7.367,2.8235,6.0833,6.2973,sad,0,8,8,163,32.21456150012091,,,,,,,,,31.919188800267875,32.21456150012091,32.21456150012091,32.21456150012091,39.53142959997058,None,,,33.92643800005317,34.126671500038356,34.326894000172615,34.52679149992764,34.727089600171894,34.92703210003674,254574,001,2025-06-18_14h35.36.394,emotionalMovieTask,2023.2.3,60.01842561530226,2025-06-18 14h35.45.025868 -0500,
,,,,,,,,,,39.94847630010918,,,,,,,,,39.64331130031496,39.94847630010918,39.94847630010918,39.94847630010918,,,,,41.64935670001432,41.849686700385064,42.04989439994097,42.249909500125796,42.450244000181556,42.65026400005445,,,,,,,,
