fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,photoDiode1.started,photoDiode1.stopped,photoDiode2.started,photoDiode2.stopped,photoDiode3.started,photoDiode3.stopped,MoviePresent.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004266400123015046,0.009605299914255738,0.009605299914255738,1.2583175001200289,space,1.2342637998517603,None,,,,,,,,,,,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
698.3-Putting_a_Girl_into_Sleep_-_General_Anesthesia-ED.mp4,12.067,2.6207,6.6,6.4727,sad,0,0,0,128,1.9752980000339448,,,,,,,,,1.2707806001417339,1.9752980000339448,1.9752980000339448,3.26197630004026,3.461851099971682,3.661823600064963,3.8622000999748707,4.062442100141197,4.262684399960563,14.020409099990502,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
722.2-A_Woman_Flat_Ironing_A_Table_Cloth-ED.mp4,15.0,5.6,3.0588,2.4063,neut,0,1,1,56,15.109565600054339,,,,,,,,,14.125680800061673,15.109565600054339,15.109565600054339,16.138691700063646,16.339079499943182,16.53957340004854,16.739338400075212,16.939685800112784,17.140303699998185,30.083536199992523,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
810-Stir Fry Slow Motion-ED.mp4,4.102,6.85,4.1875,3.25,happy,0,2,2,104,31.156001100083813,,,,,,,,,30.203083199914545,31.156001100083813,31.156001100083813,32.20157260005362,32.40172250010073,32.60199599992484,32.80219150008634,33.0023054999765,33.20230620005168,35.23772870004177,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
561-Kids Eating Cookies They Decorated Themselves-ED2.mp4,7.916,6.5897,3.2857,3.3023,neut,0,3,3,53,36.21208809991367,,,,,,,,,35.349690600065514,36.21208809991367,36.21208809991367,37.35608069994487,37.556073900079355,37.75632350007072,37.95628700009547,38.15644020005129,38.35670410003513,44.095154700102285,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
867-Close-Up Video Of Woman Smiling-ED.mp4,12.435,4.8125,3.6757,2.5758,neut,0,4,4,10,44.983257699990645,,,,,,,,,44.205552000086755,44.983257699990645,44.983257699990645,46.2139147000853,46.41395219997503,46.61413010000251,46.81399599998258,47.0144438999705,47.214370199944824,57.372853100067005,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
526.2-Monster_(EXPLICIT)-ED2.mp4,5.834,2.7273,5.8125,4.9333,sad,0,5,5,172,58.37199390004389,,,,,,,,,57.47775939991698,58.37199390004389,58.37199390004389,59.490756599931046,59.69109500013292,59.89103760011494,60.09115560003556,60.2916586000938,60.491673399927095,64.19521529995836,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
566.6-Mitch_Parkinson-ED.mp4,7.534,6.9737,5.2895,4.6842,happy,0,6,6,115,65.6153617000673,,,,,,,,,64.29806880000979,65.6153617000673,65.6153617000673,66.3133978000842,66.51351350010373,66.71412250003777,66.91415470000356,67.09694180008955,67.29703709995374,73.1691735999193,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
345.1-Woman Applying Makeup Around Her Face-ED.mp4,12.931,5.5294,2.4231,2.8519,neut,0,7,7,57,74.15404599998146,,,,,,,,,73.27829049993306,74.15404599998146,74.15404599998146,75.28730130009353,75.4871913001407,75.68771610013209,75.88775380002335,76.08774830005132,76.28812830010429,87.03047870006412,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
404.2-Man_Tries_to_Smoke_and_Gets_Caughts-ED.mp4,8.534,2.913,5.7,3.6087,sad,0,8,8,149,87.91930470010266,,,,,,,,,87.15798799996264,87.91930470010266,87.91930470010266,89.16529339994304,89.36553460010327,89.56571180000901,89.76574559998699,89.9657568000257,90.16589340008795,96.438407599926,375540,001,2025-06-11_16h49.38.894,emotionalMovieTask,2023.2.3,59.93198919105018,2025-06-11 16h49.46.951193 -0500,
